Day,Cash On Hand (Accumulated) (USD)
0,3500000
1,3487400
2,3280680
3,3191060
4,296950
5,360321
6,413494
7,177301
8,335118
9,434073
10,655922
11,460202
12,623361
13,461607
14,777093
15,183517
16,534414
17,258901
18,249653
19,346441
20,512712
21,651036
22,319918
23,441714
24,632207
25,581706
26,111021
27,91096
28,256801
29,343695
30,476100
31,689995
32,549203
33,476376
34,447145
35,606695
36,155330
37,258866
38,107993
39,540185
40,254230
41,507528
42,327359
43,249814
44,339960
45,756262
46,1064364
47,1306083
48,2238835
49,2961205
50,3069824
51,3489928
52,3567389
53,4646371
54,4648715
55,5270283
56,5176855
57,5278221
58,4820096
59,4964177
60,5357991
61,5391854
62,5371267
63,5407393
64,5454385
65,5200701
66,5273169
67,6107001
68,5795526
69,6063259
70,5865810
71,4820858
72,4896352
73,5404445
74,4960802
75,5346258
76,5584590
77,5203012
78,7123291
79,8135967
80,9057464
81,9551434
82,10395668
83,10173269
84,10023982
85,10313398
86,10323696
87,10323458
88,10457718
89,10691361
90,10830445
