Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,219320,-219320
3,0,0,308940,-308940
4,102944,36450,370027,-333577
5,200907,71240,407952,-336712
6,290695,112183,447900,-335717
7,1963306,396097,485037,-88940
8,2080504,450534,521501,-70967
9,2212656,506580,558031,-51451
10,3094759,892838,596618,296220
11,3881948,1169177,651945,517232
12,4711289,1521350,696460,824890
13,5411754,1859842,741699,1118143
14,6209967,2353080,805860,1547220
15,6297692,2398747,868827,1529920
16,6392005,2450711,920335,1530376
17,6492128,2497830,1007637,1490193
18,8722614,3219999,1110436,2109563
19,8871591,3308307,1174291,2134016
20,9513265,3535955,1260056,2275899
21,9717211,3649626,1337344,2312282
22,10045172,3895005,1412309,2482696
23,10247201,4010748,1504208,2506540
24,11330364,4332119,1636412,2695707
25,11561413,4454685,1745056,2709629
26,11782116,4562639,1823110,2739529
27,12005216,4671525,1939051,2732474
28,13331817,5090612,2022863,3067749
29,13560561,5195504,2125825,3069679
30,14518182,5525739,2210680,3315059
31,14815761,5752730,2311030,3441700
32,15048446,5880674,2413079,3467595
33,15291581,6013383,2517187,3496196
34,15481068,6135659,2606411,3529248
35,15713148,6268285,2695607,3572678
36,16586474,6605482,2786964,3818518
37,17379346,7009096,2876644,4132452
38,18563884,7462720,2978721,4483999
39,19066218,7772979,3065529,4707450
40,19300005,7906385,3152549,4753836
41,19657038,8167401,3258090,4909311
42,20143701,8414916,3362626,5052290
43,20764421,8627469,3452557,5174912
44,20946093,8748611,3560749,5187862
45,22054376,9071280,3667590,5403690
46,22604808,9304582,3819882,5484700
47,22967366,9585160,3957387,5627773
48,23998492,9815091,4072427,5742664
49,24811187,10017133,4179418,5837715
50,25024893,10125681,4301171,5824510
51,25654742,10297856,4423686,5874170
52,25823248,10394100,4531397,5862703
53,26993274,10720306,4639107,6081199
54,27142566,10782306,4748901,6033405
55,27998257,11050893,4856715,6194178
56,28411017,11301419,4979641,6321778
57,28607638,11429642,5091562,6338080
58,28974786,11627715,5199449,6428266
59,29227183,11762301,5324431,6437870
60,29965646,12111852,5462318,6649534
61,30095477,12211452,5574952,6636500
62,30338875,12349650,5744003,6605647
63,30482856,12460311,5868524,6591787
64,30624671,12569569,5976680,6592889
65,30968002,12691782,6097878,6593904
66,31318905,12861220,6267696,6593524
67,32328205,13245953,6456497,6789456
68,32623682,13432581,6636298,6796283
69,33264101,13666041,6878677,6787364
70,33483245,13838045,7018923,6819122
71,33802270,14107722,7130842,6976880
72,34022007,14261283,7288418,6972865
73,34628302,14484817,7399953,7084864
74,35288027,14797562,7537181,7260381
75,36258852,15210084,7689239,7520845
76,36609100,15398790,7811155,7587635
77,36867858,15573368,8032878,7540490
78,38951590,16618593,8201331,8417262
79,40423725,17523033,8327491,9195542
80,41639915,18606720,8480544,10126176
81,42338030,19134755,8689689,10445066
82,44481035,19767614,8820600,10947014
83,45162788,19965062,8972624,10992438
84,45518558,20119078,9088696,11030382
85,46318952,20363440,9204940,11158500
86,46532047,20517318,9412737,11104581
87,46748058,20673966,9555874,11118092
88,46978969,20834923,9682525,11182398
89,47328251,21004415,9798164,11236251
90,47578717,21177084,9909546,11297538
