[HIGHEST OVERHEAD] Marketing Expense: 36.15%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD206720
[CASH DEFICIT] DAY: 3, AMOUNT: USD89620
[CASH DEFICIT] DAY: 4, AMOUNT: USD2894110
[CASH DEFICIT] DAY: 7, AMOUNT: USD236193
[CASH DEFICIT] DAY: 11, AMOUNT: USD195720
[CASH DEFICIT] DAY: 13, AMOUNT: USD161754
[CASH DEFICIT] DAY: 15, AMOUNT: USD593576
[CASH DEFICIT] DAY: 17, AMOUNT: USD275513
[CASH DEFICIT] DAY: 18, AMOUNT: USD9248
[CASH DEFICIT] DAY: 22, AMOUNT: USD331118
[CASH DEFICIT] DAY: 25, AMOUNT: USD50501
[CASH DEFICIT] DAY: 26, AMOUNT: USD470685
[CASH DEFICIT] DAY: 27, AMOUNT: USD19925
[CASH DEFICIT] DAY: 32, AMOUNT: USD140792
[CASH DEFICIT] DAY: 33, AMOUNT: USD72827
[CASH DEFICIT] DAY: 34, AMOUNT: USD29231
[CASH DEFICIT] DAY: 36, AMOUNT: USD451365
[CASH DEFICIT] DAY: 38, AMOUNT: USD150873
[CASH DEFICIT] DAY: 40, AMOUNT: USD285955
[CASH DEFICIT] DAY: 42, AMOUNT: USD180169
[CASH DEFICIT] DAY: 43, AMOUNT: USD77545
[CASH DEFICIT] DAY: 56, AMOUNT: USD93428
[CASH DEFICIT] DAY: 58, AMOUNT: USD458125
[CASH DEFICIT] DAY: 62, AMOUNT: USD20587
[CASH DEFICIT] DAY: 65, AMOUNT: USD253684
[CASH DEFICIT] DAY: 68, AMOUNT: USD311475
[CASH DEFICIT] DAY: 70, AMOUNT: USD197449
[CASH DEFICIT] DAY: 71, AMOUNT: USD1044952
[CASH DEFICIT] DAY: 74, AMOUNT: USD443643
[CASH DEFICIT] DAY: 77, AMOUNT: USD381578
[CASH DEFICIT] DAY: 83, AMOUNT: USD222399
[CASH DEFICIT] DAY: 84, AMOUNT: USD149287
[CASH DEFICIT] DAY: 87, AMOUNT: USD238
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD206720
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD89620
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD24637
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD3135
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD17300
[PROFIT DEFICIT] DAY: 17, AMOUNT: USD40183
[PROFIT DEFICIT] DAY: 27, AMOUNT: USD7055
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD13205
[PROFIT DEFICIT] DAY: 52, AMOUNT: USD11467
[PROFIT DEFICIT] DAY: 54, AMOUNT: USD47794
[PROFIT DEFICIT] DAY: 61, AMOUNT: USD13034
[PROFIT DEFICIT] DAY: 62, AMOUNT: USD30853
[PROFIT DEFICIT] DAY: 63, AMOUNT: USD13860
[PROFIT DEFICIT] DAY: 66, AMOUNT: USD380
[PROFIT DEFICIT] DAY: 69, AMOUNT: USD8919
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD4015
[PROFIT DEFICIT] DAY: 77, AMOUNT: USD47145
[PROFIT DEFICIT] DAY: 86, AMOUNT: USD53919
